"task_id","simulation_seed","observed_data_md5","model","display_model","error_scope","mean_error_value"
1,1001,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise","Gamma-noise","Overall",0.273543835850054
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise","Gamma-noise","Overall",0.316868238807433
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise","Gamma-noise","Overall",-0.578655360756867
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise","Gamma-noise","Overall",0.280258293078012
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise","Gamma-noise","Overall",-0.0656804701051087
6,1006,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise","Gamma-noise","Overall",-0.0518231428437162
7,1007,"c23f10d0daa427c993e4ece1079ed751","gamma_noise","Gamma-noise","Overall",0.430343841430011
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise","Gamma-noise","Overall",0.157846063775461
9,1009,"51101219b554b4802624e043f09d6160","gamma_noise","Gamma-noise","Overall",0.251902317347823
10,1010,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise","Gamma-noise","Overall",-0.0853432709513923
11,1011,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise","Gamma-noise","Overall",0.324495819398569
12,1012,"05f564b562cd69afde749fbba393d734","gamma_noise","Gamma-noise","Overall",-0.190139256674929
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","gamma_noise","Gamma-noise","Overall",0.322786360099803
14,1014,"3ee86b29e7e61ffc7287cc8f5b47aeca","gamma_noise","Gamma-noise","Overall",0.230957839009052
15,1015,"ae056eafb87645cec401ccb46346269b","gamma_noise","Gamma-noise","Overall",0.090880535597218
16,1016,"a714e996eac59ec21285ac81b9fb5223","gamma_noise","Gamma-noise","Overall",0.159608718543685
17,1017,"c1dff99001cdd2a71a8c5de229779c6a","gamma_noise","Gamma-noise","Overall",-0.280093504082475
18,1018,"b6d242ccc65d51d758e56f6a2b2246d6","gamma_noise","Gamma-noise","Overall",-0.066182335270125
19,1019,"13d489a8a65aa7a169791da7e2e871a6","gamma_noise","Gamma-noise","Overall",-0.123746909816552
20,1020,"714f6bb12c5d63009433470452ca002b","gamma_noise","Gamma-noise","Overall",0.120169428402923
21,1021,"c46a7b2a22c4a8bed8a3c2537dbc0243","gamma_noise","Gamma-noise","Overall",-0.0483038289030676
22,1022,"37fb1b826b530c406841fb3dc0dd2a19","gamma_noise","Gamma-noise","Overall",0.0900177941172016
23,1023,"5391b651cef3ef3752fc04bfb4f6d8ab","gamma_noise","Gamma-noise","Overall",0.171431292387248
24,1024,"f17101a77a91a5858651ca092461a15e","gamma_noise","Gamma-noise","Overall",-0.066666379614224
25,1025,"5bffd9597ff51651a7b3c018b0060e43","gamma_noise","Gamma-noise","Overall",-0.104446377509852
26,1026,"7d638818fac5c183766d7bd337251990","gamma_noise","Gamma-noise","Overall",0.088379498615558
27,1027,"febf6d542123ef85142ab3d7c88fd4f9","gamma_noise","Gamma-noise","Overall",0.104742934286506
28,1028,"fa30cb31cb12a8463966a31a9ac1f66d","gamma_noise","Gamma-noise","Overall",0.153009411093007
29,1029,"f88e4728f80479179227d46e3ae73be8","gamma_noise","Gamma-noise","Overall",-0.204262240845473
30,1030,"6d8fcd9da06daac4afecfcdf2af73043","gamma_noise","Gamma-noise","Overall",0.140165467099153
31,1031,"1f4f623a1599fc68865ccca5c8e38092","gamma_noise","Gamma-noise","Overall",-0.531253779809292
32,1032,"8b18f38744449f8e8c5016a5c62a9db0","gamma_noise","Gamma-noise","Overall",0.134458997258005
33,1033,"1c656b251cec47b7f90e7590d6f84c85","gamma_noise","Gamma-noise","Overall",0.388713324039044
34,1034,"6295649cce30d443915163e1f486574c","gamma_noise","Gamma-noise","Overall",0.126930565368746
35,1035,"05c8b3ee0cc2e85807ddffab0af38be8","gamma_noise","Gamma-noise","Overall",-0.0037980411046314
36,1036,"12e163742e3ae8e7eef3194a703ebcdb","gamma_noise","Gamma-noise","Overall",-0.0284374633077964
37,1037,"129fa3be8b0ee7a384bf1d0e5525258e","gamma_noise","Gamma-noise","Overall",-0.227751567499219
38,1038,"2cb84ae4bd553be0419d1e71639da95a","gamma_noise","Gamma-noise","Overall",-0.260984437239321
39,1039,"42f80019227937c2a1292d80471ad885","gamma_noise","Gamma-noise","Overall",0.10173632466434
40,1040,"ab1d08dee64fd498a66e009327aa8634","gamma_noise","Gamma-noise","Overall",-0.013677522083186
41,1041,"287dedf1d0604d7339bf2699355ae974","gamma_noise","Gamma-noise","Overall",-0.127725863312535
42,1042,"a0f4bf165f246f2d852e7cb15677c6d0","gamma_noise","Gamma-noise","Overall",0.0900174189795591
