"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","best_run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","final_pf_logLik","fit_success","final_pf_success","status"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,2,NA,NA,2,NA,NA,4.04534940404491,-197.161134765175,0.522122104018249,5,-198.360447686619,TRUE,TRUE,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,NA,NA,2,NA,NA,4.58191516227993,-208.31397888228,0.190610290155397,5,-208.685213192455,TRUE,TRUE,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,NA,NA,3,NA,NA,3.03294263829883,-150.089541758131,0.141630870978333,5,-150.244304512505,TRUE,TRUE,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,3,NA,NA,3,NA,NA,3.6926380302407,-216.844200299591,0.374164605315165,5,-217.428370960655,TRUE,TRUE,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,2,NA,NA,2,NA,NA,3.63806776750035,-212.012182512176,1.14084468211091,5,-214.162733848712,TRUE,TRUE,"success"
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","constant_B",600,5,NA,NA,5,NA,NA,3.2234337289018,-204.054534306924,0.141111903948225,5,-204.037437308919,TRUE,TRUE,"success"
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,4,NA,NA,4,NA,NA,4.55514019470827,-218.149013373217,0.33944113607883,5,-219.101755504361,TRUE,TRUE,"success"
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,2,NA,NA,2,NA,NA,3.76960994631801,-240.123608129499,1.89761005739141,5,-242.132969175213,TRUE,TRUE,"success"
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,6,NA,NA,6,NA,NA,3.87703768025838,-214.559151972996,1.43488767273107,5,-216.010107353433,TRUE,TRUE,"success"
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,1,NA,NA,1,NA,NA,3.1303028921746,-197.324148251434,0.0308398592996419,5,-197.368181763598,TRUE,TRUE,"success"
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,6,NA,NA,6,NA,NA,3.90133404881846,-238.048957961768,0.618606716660339,5,-239.777113498728,TRUE,TRUE,"success"
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,6,NA,NA,6,NA,NA,3.45037145272229,-234.827806832035,0.745598137856026,5,-234.100731648015,TRUE,TRUE,"success"
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,3,NA,NA,3,NA,NA,4.12176555740855,-210.35658090241,0.390934698228252,5,-211.323197220532,TRUE,TRUE,"success"
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,5,NA,NA,5,NA,NA,3.59448075497917,-233.59418338899,0.60153228941848,5,-232.120130682998,TRUE,TRUE,"success"
